District,State,Accident_Date,Accident_Time,Weather_Condition,Road_Type,Vehicles_Involved,Casualties,Latitude,Longitude
Varanasi,Uttar Pradesh,2025-02-03,01:04:34,Rainy,Highway,4,2,27.993076,91.411334
Surat,Gujarat,2023-04-09,04:28:15,Foggy,Urban Road,2,8,11.931887,71.783361
Dibrugarh,Assam,2022-06-27,06:15:38,Cloudy,Rural Road,1,1,30.204221,71.059713
Ahmedabad,Gujarat,2021-09-13,17:11:17,Foggy,Rural Road,3,1,18.590901,78.699758
Bhilai,Chhattisgarh,2022-10-14,19:23:44,Cloudy,Rural Road,4,7,20.857863,96.370793
Jaipur,Rajasthan,2021-07-04,10:36:25,Clear,Rural Road,1,0,16.982891,72.68338
Indore,Madhya Pradesh,2024-09-16,20:34:00,Clear,Highway,4,0,32.586473,75.448783
Coimbatore,Tamil Nadu,2021-08-09,18:50:20,Foggy,Rural Road,4,8,34.983842,72.673399
Itanagar,Arunachal Pradesh,2022-11-02,10:02:20,Stormy,Highway,5,6,8.81443,87.585137
Pathanamthitta,Kerala,2023-08-03,23:05:20,Stormy,Highway,4,2,24.191461,88.5433
Dharamshala,Himachal Pradesh,2024-02-18,18:55:24,Foggy,Rural Road,4,7,9.566282,71.111668
Coimbatore,Tamil Nadu,2024-10-16,23:03:35,Foggy,Urban Road,2,7,23.637788,84.068924
Gurgaon,Haryana,2024-05-31,13:21:06,Foggy,Urban Road,4,9,15.640253,75.363726
Imphal,Manipur,2024-11-29,07:30:01,Clear,Highway,2,9,23.451328,74.036606
Gaya,Bihar,2023-03-13,05:42:18,Stormy,Highway,4,0,23.771422,87.46852
Nagpur,Maharashtra,2021-11-17,02:35:23,Stormy,Highway,2,10,9.658889,81.92685
Dimapur,Nagaland,2023-08-20,21:52:13,Cloudy,Urban Road,4,6,29.226973,92.826219
Dimapur,Nagaland,2024-07-08,11:37:29,Stormy,Urban Road,3,8,24.425937,88.792934
Warangal,Telangana,2023-06-21,06:07:18,Clear,Urban Road,4,2,33.794809,68.029882
Kanpur,Uttar Pradesh,2022-09-19,03:19:43,Cloudy,Rural Road,2,3,36.45591,83.57089
Jamshedpur,Jharkhand,2021-11-18,21:20:53,Rainy,Highway,5,10,29.292658,81.384162
Aizawl,Mizoram,2022-11-02,16:45:16,Rainy,Urban Road,2,0,9.941373,92.810074
Panaji,Goa,2022-08-04,08:10:58,Foggy,Urban Road,3,1,33.119586,95.887946
Gaya,Bihar,2022-01-08,13:34:20,Rainy,Rural Road,3,1,34.437078,75.942313
Ahmedabad,Gujarat,2024-06-29,06:37:03,Clear,Rural Road,2,8,29.026475,90.698037
Haridwar,Uttarakhand,2021-05-29,12:50:30,Cloudy,Highway,5,0,11.185035,80.324491
Hubli,Karnataka,2021-03-27,19:40:53,Foggy,Highway,1,8,11.857836,74.68325
Dharamshala,Himachal Pradesh,2024-02-24,13:41:18,Clear,Highway,2,0,29.628098,78.018421
Coimbatore,Tamil Nadu,2024-08-05,00:40:35,Cloudy,Highway,4,1,12.036961,84.246637
Madurai,Tamil Nadu,2021-03-11,18:38:26,Rainy,Urban Road,4,4,19.646698,68.740949
Haridwar,Uttarakhand,2023-11-29,12:53:53,Foggy,Urban Road,3,8,32.931228,86.241167
Shillong,Meghalaya,2023-11-02,09:55:28,Clear,Urban Road,1,10,15.55768,72.710987
Ranchi,Jharkhand,2024-03-09,22:07:28,Foggy,Highway,2,8,14.790424,92.340789
Agartala,Tripura,2024-12-31,08:11:45,Stormy,Highway,1,1,11.002551,87.980996
Gaya,Bihar,2022-01-18,22:59:22,Rainy,Urban Road,5,3,14.467107,89.308478
Kohima,Nagaland,2023-11-04,06:13:14,Clear,Rural Road,3,4,18.180222,84.903588
Bengaluru,Karnataka,2023-01-29,19:46:04,Rainy,Rural Road,1,10,16.786557,68.77803
Ahmedabad,Gujarat,2021-10-17,02:31:47,Rainy,Urban Road,2,10,12.643855,85.400648
Dimapur,Nagaland,2021-08-30,12:49:52,Foggy,Urban Road,3,4,17.882623,84.413777
Kolkata,West Bengal,2024-08-03,04:34:32,Stormy,Highway,1,1,18.406797,73.933324
Shillong,Meghalaya,2021-02-23,14:51:21,Foggy,Rural Road,2,4,30.476385,72.978136
Lucknow,Uttar Pradesh,2022-05-07,18:15:01,Stormy,Rural Road,3,5,19.004988,83.261368
Darjeeling,West Bengal,2022-11-16,23:08:16,Stormy,Urban Road,2,9,19.662577,76.303249
Agartala,Tripura,2021-09-22,03:02:28,Rainy,Rural Road,5,0,24.147792,87.944909
Nagpur,Maharashtra,2023-10-21,18:44:54,Foggy,Highway,3,2,13.272846,81.005378
Mumbai,Maharashtra,2023-09-19,23:20:23,Clear,Rural Road,2,4,29.415988,80.422352
Ranchi,Jharkhand,2021-05-02,16:09:26,Foggy,Highway,2,7,34.050125,80.660946
Kohima,Nagaland,2024-08-25,20:34:50,Cloudy,Rural Road,4,4,30.000791,96.571175
Surat,Gujarat,2023-07-31,08:42:17,Clear,Urban Road,5,6,9.54438,79.940668
Gurgaon,Haryana,2023-11-18,02:59:14,Clear,Rural Road,5,4,21.103537,69.456829
Jamshedpur,Jharkhand,2023-07-21,12:54:34,Cloudy,Rural Road,3,7,26.828871,88.735904
Warangal,Telangana,2023-07-27,22:34:05,Clear,Rural Road,5,4,25.636051,87.853566
Indore,Madhya Pradesh,2022-05-18,01:10:29,Cloudy,Highway,5,2,15.092348,84.6437
Dimapur,Nagaland,2024-01-28,16:04:02,Foggy,Rural Road,3,0,23.00301,74.5601
Agartala,Tripura,2021-11-02,22:35:24,Stormy,Rural Road,3,10,21.786127,73.824036
Shillong,Meghalaya,2022-07-13,01:34:06,Rainy,Urban Road,2,10,29.125332,77.98287
Dibrugarh,Assam,2022-06-16,05:36:52,Clear,Rural Road,5,5,26.712096,75.946341
Surat,Gujarat,2024-02-24,10:39:01,Foggy,Highway,5,8,36.746476,73.05901
Bengaluru,Karnataka,2021-12-12,00:24:14,Stormy,Rural Road,5,1,8.466232,96.178917
Muzaffarpur,Bihar,2021-11-13,05:19:11,Foggy,Urban Road,2,8,18.507982,85.170585
Dehradun,Uttarakhand,2022-12-14,10:55:05,Foggy,Rural Road,5,0,13.502672,92.430126
Jabalpur,Madhya Pradesh,2022-01-13,01:44:33,Foggy,Urban Road,4,4,32.871799,77.118994
Aizawl,Mizoram,2023-02-25,17:12:48,Rainy,Urban Road,2,3,10.556236,72.87253
Aizawl,Mizoram,2022-12-21,18:00:42,Stormy,Highway,3,0,25.614407,68.008617
Imphal,Manipur,2021-06-24,11:32:20,Clear,Urban Road,4,1,18.619954,88.308435
Nagpur,Maharashtra,2024-04-10,07:03:21,Foggy,Rural Road,4,4,8.046148,79.173369
Tawang,Arunachal Pradesh,2023-02-17,18:15:37,Clear,Urban Road,5,5,8.425933,73.41202
Bhilai,Chhattisgarh,2021-12-22,02:55:54,Cloudy,Rural Road,3,1,21.157789,71.792737
Panaji,Goa,2022-06-02,18:25:50,Cloudy,Highway,4,9,34.489395,71.436592
Haridwar,Uttarakhand,2022-11-23,21:16:15,Foggy,Highway,4,7,15.869605,76.734817
Hyderabad,Telangana,2025-01-14,12:13:20,Stormy,Rural Road,2,9,14.569465,68.845513
Kolkata,West Bengal,2023-03-26,04:05:20,Stormy,Rural Road,2,3,20.105401,75.242646
Gurgaon,Haryana,2022-07-22,06:30:16,Foggy,Rural Road,4,0,20.955651,71.460555
Malappuram,Kerala,2023-09-01,19:53:37,Foggy,Highway,3,10,23.847594,69.380051
Bengaluru,Karnataka,2022-01-02,10:59:57,Rainy,Highway,4,7,29.015328,72.057477
Agartala,Tripura,2022-02-14,00:54:57,Foggy,Rural Road,3,6,9.246543,90.084301
Bengaluru,Karnataka,2024-11-21,01:15:32,Rainy,Highway,3,9,32.498757,80.69315
New Delhi,Delhi,2023-04-15,07:30:43,Cloudy,Highway,4,9,26.690519,89.055034
Bhubaneswar,Odisha,2024-03-30,01:06:42,Clear,Rural Road,3,2,17.29994,77.136761
Nagpur,Maharashtra,2022-04-28,06:23:06,Clear,Highway,5,9,10.326225,93.263142
Shillong,Meghalaya,2021-09-28,06:12:11,Rainy,Highway,4,5,20.251834,80.117501
Imphal,Manipur,2021-02-22,20:17:40,Clear,Rural Road,1,3,18.564732,83.244787
Hubli,Karnataka,2021-07-31,22:44:46,Clear,Highway,5,4,29.210695,72.987184
Faridabad,Haryana,2023-06-15,11:02:21,Rainy,Urban Road,1,9,24.848349,76.415723
Raipur,Chhattisgarh,2023-02-21,08:29:54,Rainy,Highway,3,9,12.213075,84.416139
Agartala,Tripura,2023-01-15,14:41:08,Cloudy,Rural Road,4,3,36.498947,95.312256
Hyderabad,Telangana,2023-05-27,04:56:50,Cloudy,Urban Road,1,2,11.562121,83.744282
Margao,Goa,2022-03-24,13:02:32,Rainy,Rural Road,3,7,12.825965,72.963181
Cuttack,Odisha,2023-03-18,06:50:22,Cloudy,Rural Road,3,6,35.119648,86.965619
Itanagar,Arunachal Pradesh,2021-07-28,06:10:02,Clear,Urban Road,2,7,20.52467,79.560396
Kohima,Nagaland,2023-01-22,05:00:59,Clear,Highway,4,5,18.487624,71.814515
Hyderabad,Telangana,2021-07-17,20:43:31,Foggy,Highway,3,3,33.225957,85.115945
Vadodara,Gujarat,2022-01-14,07:43:22,Foggy,Highway,2,2,29.141726,89.197617
Hyderabad,Telangana,2021-06-29,00:41:53,Clear,Urban Road,1,0,8.404327,91.160468
Kohima,Nagaland,2024-04-07,01:04:18,Clear,Urban Road,4,9,30.501845,89.399636
Ludhiana,Punjab,2024-05-05,11:04:14,Stormy,Urban Road,5,2,11.825377,79.637864
Dibrugarh,Assam,2021-06-19,04:13:42,Cloudy,Highway,1,9,16.240492,84.570368
Mysuru,Karnataka,2024-08-09,04:02:01,Cloudy,Rural Road,3,10,28.052308,76.622667
Vijayawada,Andhra Pradesh,2023-08-02,16:55:22,Foggy,Rural Road,3,1,32.322249,92.415296
Darjeeling,West Bengal,2023-02-01,06:03:25,Cloudy,Rural Road,4,4,8.766593,72.35283
Vadodara,Gujarat,2022-02-09,18:28:29,Cloudy,Urban Road,3,6,20.155421,84.464174
Bengaluru,Karnataka,2023-02-05,07:23:13,Stormy,Rural Road,5,9,22.465634,81.643043
Haridwar,Uttarakhand,2022-08-01,02:29:46,Rainy,Urban Road,4,8,36.949001,93.019887
Haridwar,Uttarakhand,2021-12-17,20:11:33,Clear,Rural Road,1,1,35.97532,87.328982
Madurai,Tamil Nadu,2023-12-02,10:57:11,Cloudy,Highway,4,7,19.611903,81.274571
Cuttack,Odisha,2021-08-11,01:15:25,Clear,Rural Road,3,1,24.589681,75.017181
Vadodara,Gujarat,2025-02-11,02:57:57,Rainy,Urban Road,3,5,21.133611,75.304146
Varanasi,Uttar Pradesh,2022-11-05,07:25:29,Foggy,Rural Road,3,1,36.536829,93.682282
Vadodara,Gujarat,2023-09-09,05:00:15,Stormy,Highway,2,5,17.827222,94.827432
Kohima,Nagaland,2023-07-17,02:04:57,Stormy,Urban Road,2,2,21.630647,69.185584
Shillong,Meghalaya,2022-08-26,06:40:48,Rainy,Rural Road,5,2,28.145512,81.291269
Agartala,Tripura,2021-09-01,12:23:55,Clear,Urban Road,5,0,24.375227,91.084197
Hyderabad,Telangana,2023-11-02,22:26:30,Rainy,Rural Road,3,0,22.51626,80.922684
Bhilai,Chhattisgarh,2023-10-23,03:43:42,Rainy,Urban Road,2,4,34.092304,68.117393
Agartala,Tripura,2022-01-21,15:54:03,Rainy,Urban Road,5,10,32.44486,79.060638
Panaji,Goa,2022-07-13,07:32:19,Cloudy,Rural Road,2,9,25.903099,87.929062
Guwahati,Assam,2023-02-21,18:14:47,Cloudy,Urban Road,4,4,26.32869,77.512932
Vijayawada,Andhra Pradesh,2021-10-23,17:23:33,Cloudy,Urban Road,2,3,32.397352,83.375176
Haridwar,Uttarakhand,2022-07-18,21:17:10,Foggy,Rural Road,3,7,27.167394,73.192595
Warangal,Telangana,2021-09-24,17:39:48,Foggy,Rural Road,1,3,14.469229,78.622015
Guntur,Andhra Pradesh,2023-03-15,23:49:19,Foggy,Urban Road,4,7,32.318845,92.838543
Faridabad,Haryana,2024-03-03,11:56:35,Rainy,Urban Road,1,10,35.146759,71.702951
Margao,Goa,2023-09-01,18:43:26,Rainy,Urban Road,4,3,30.653601,83.738652
Bhilai,Chhattisgarh,2024-02-29,04:05:07,Foggy,Urban Road,1,9,17.499747,86.418058
Alappuzha,Kerala,2024-06-15,19:15:52,Clear,Highway,5,5,34.709741,88.6046
Gurgaon,Haryana,2024-07-06,02:32:13,Stormy,Rural Road,1,3,15.070087,93.821142
Raipur,Chhattisgarh,2023-04-28,02:36:54,Rainy,Urban Road,3,9,23.367143,85.073956
Kasaragod,Kerala,2022-03-21,12:04:33,Rainy,Highway,4,1,17.370933,81.251922
Haridwar,Uttarakhand,2022-08-12,00:48:07,Cloudy,Urban Road,1,3,14.084681,69.996929
Faridabad,Haryana,2022-04-16,21:00:47,Stormy,Rural Road,4,8,10.193784,69.221662
Kannur,Kerala,2022-09-20,21:16:21,Rainy,Highway,1,9,12.316098,83.519478
Kanpur,Uttar Pradesh,2024-07-25,17:16:22,Rainy,Rural Road,3,1,35.806072,94.062133
Ranchi,Jharkhand,2021-08-12,00:41:57,Rainy,Urban Road,5,1,13.527512,69.357324
Tawang,Arunachal Pradesh,2023-02-28,06:55:13,Stormy,Highway,2,5,21.393056,68.912556
Bhopal,Madhya Pradesh,2023-10-08,15:17:39,Stormy,Urban Road,1,3,35.643054,96.049963
Varanasi,Uttar Pradesh,2023-11-24,16:43:37,Clear,Rural Road,1,7,28.526981,68.383179
Shillong,Meghalaya,2025-02-18,23:31:06,Stormy,Highway,5,8,11.099205,74.577562
Dibrugarh,Assam,2022-03-11,13:57:37,Clear,Urban Road,4,6,14.709956,69.909662
Ranchi,Jharkhand,2023-10-28,08:06:02,Stormy,Urban Road,2,1,24.070537,70.854662
Faridabad,Haryana,2025-02-12,04:20:22,Rainy,Urban Road,5,10,23.777661,93.085091
Lucknow,Uttar Pradesh,2023-05-22,10:54:26,Clear,Highway,3,8,24.430229,93.391315
Faridabad,Haryana,2024-09-23,01:32:40,Cloudy,Urban Road,2,0,10.12777,91.957611
Itanagar,Arunachal Pradesh,2023-02-17,21:34:25,Rainy,Urban Road,1,3,21.312053,94.310427
Dehradun,Uttarakhand,2023-03-04,06:05:07,Cloudy,Urban Road,4,5,30.772172,88.673174
Warangal,Telangana,2024-10-23,09:33:30,Foggy,Urban Road,5,8,29.238428,74.875408
Patna,Bihar,2024-02-05,01:32:05,Clear,Urban Road,1,4,20.140275,86.709957
Darjeeling,West Bengal,2021-04-07,14:43:59,Stormy,Highway,4,8,12.509819,94.721598
Bengaluru,Karnataka,2021-05-11,00:33:43,Foggy,Highway,1,2,30.010744,71.149461
Guwahati,Assam,2024-07-06,13:55:30,Cloudy,Urban Road,4,5,35.969766,78.023898
Shimla,Himachal Pradesh,2024-11-01,11:37:06,Foggy,Highway,4,10,20.0734,80.383217
Ahmedabad,Gujarat,2023-05-08,18:34:08,Stormy,Rural Road,3,10,19.304383,70.780628
Raipur,Chhattisgarh,2021-07-13,19:36:17,Cloudy,Rural Road,3,10,24.188934,73.770324
Lucknow,Uttar Pradesh,2024-09-25,15:11:45,Foggy,Rural Road,1,7,29.449496,72.43167
Agartala,Tripura,2024-04-29,01:39:06,Rainy,Rural Road,2,9,12.74987,84.92468
Itanagar,Arunachal Pradesh,2024-06-26,09:17:57,Stormy,Urban Road,2,4,34.078256,90.073606
Jamshedpur,Jharkhand,2025-02-02,11:00:36,Stormy,Urban Road,1,9,34.456235,81.097567
Kanpur,Uttar Pradesh,2021-07-20,23:38:02,Clear,Rural Road,3,7,15.925188,95.941072
Mumbai,Maharashtra,2024-06-12,15:25:57,Foggy,Rural Road,3,5,31.869917,69.507107
Bhilai,Chhattisgarh,2023-12-30,02:31:17,Foggy,Highway,2,0,21.440512,82.046634
Shillong,Meghalaya,2023-07-22,04:59:14,Cloudy,Urban Road,1,10,23.153078,72.333768
Itanagar,Arunachal Pradesh,2022-12-25,09:35:50,Clear,Urban Road,3,0,14.81141,75.201533
Guwahati,Assam,2022-05-19,04:30:42,Foggy,Highway,3,2,15.249862,80.280286
Agartala,Tripura,2023-04-04,14:13:01,Stormy,Rural Road,2,0,27.503311,83.952148
Lucknow,Uttar Pradesh,2021-03-11,18:36:53,Foggy,Highway,1,7,32.475617,92.907908
Chennai,Tamil Nadu,2023-01-30,02:16:00,Clear,Highway,4,3,12.262973,75.921499
Margao,Goa,2021-05-10,12:27:35,Clear,Urban Road,1,6,32.902404,96.795555
Mumbai,Maharashtra,2023-11-06,17:07:54,Cloudy,Rural Road,2,8,24.580947,90.618911
Udaipur,Rajasthan,2024-07-12,23:34:43,Cloudy,Rural Road,5,0,15.61018,78.328473
Ranchi,Jharkhand,2024-08-29,15:56:30,Foggy,Highway,3,10,14.611491,86.025503
Surat,Gujarat,2023-09-23,11:16:48,Cloudy,Urban Road,2,10,14.468026,92.310071
Ernakulam,Kerala,2021-04-27,05:46:52,Cloudy,Rural Road,4,6,25.763352,94.795814
Agartala,Tripura,2022-06-01,13:46:29,Stormy,Urban Road,2,2,22.783457,85.90332
Dharamshala,Himachal Pradesh,2023-12-12,08:42:06,Stormy,Rural Road,1,10,11.651725,80.152418
Coimbatore,Tamil Nadu,2024-03-02,19:30:50,Rainy,Urban Road,2,0,23.137332,78.071592
Pune,Maharashtra,2021-07-10,22:13:42,Foggy,Rural Road,2,3,16.33832,92.427059
Bengaluru,Karnataka,2021-07-06,15:52:01,Clear,Highway,4,9,18.137791,72.660288
New Delhi,Delhi,2025-02-08,19:44:08,Clear,Highway,1,5,32.676917,88.243106
Chennai,Tamil Nadu,2024-10-17,20:43:50,Foggy,Urban Road,5,4,14.371024,68.442502
Mysuru,Karnataka,2025-01-24,12:45:44,Clear,Highway,4,4,18.513796,88.24194
Mysuru,Karnataka,2024-09-13,13:11:15,Cloudy,Highway,3,8,14.929268,96.050787
Tawang,Arunachal Pradesh,2021-02-28,00:07:34,Foggy,Urban Road,1,7,29.37186,81.801355
Itanagar,Arunachal Pradesh,2024-02-13,16:12:26,Rainy,Highway,2,7,31.964468,86.39502
Jaipur,Rajasthan,2024-10-03,02:34:09,Cloudy,Urban Road,2,9,21.322478,76.962994
Mumbai,Maharashtra,2021-07-15,23:38:31,Clear,Rural Road,4,10,36.191557,85.388636
Faridabad,Haryana,2023-06-27,17:20:16,Stormy,Rural Road,2,6,22.149237,68.036054
Jamshedpur,Jharkhand,2021-04-26,19:46:28,Rainy,Rural Road,3,4,28.597822,77.170005
Kolkata,West Bengal,2023-09-13,16:28:15,Stormy,Rural Road,1,0,29.25924,91.462417
Cuttack,Odisha,2023-02-27,14:08:56,Rainy,Highway,2,0,10.189234,72.85549
Bhubaneswar,Odisha,2023-11-07,10:39:15,Stormy,Highway,4,6,22.90605,86.758242
Hubli,Karnataka,2021-07-17,09:29:16,Foggy,Urban Road,3,10,21.89299,72.484707
Jaipur,Rajasthan,2023-09-27,02:37:44,Clear,Highway,5,5,20.542438,68.494376
Imphal,Manipur,2023-11-26,13:47:07,Rainy,Highway,5,7,33.401492,73.573712
Agartala,Tripura,2025-02-17,18:11:09,Rainy,Rural Road,5,10,28.816657,79.431122
Vijayawada,Andhra Pradesh,2024-03-14,13:47:54,Rainy,Highway,2,8,16.647204,84.010736
Bhubaneswar,Odisha,2024-06-02,11:39:40,Cloudy,Rural Road,2,4,18.492404,76.693382
Hyderabad,Telangana,2021-03-04,15:42:32,Rainy,Rural Road,4,3,31.309912,81.588836
Mumbai,Maharashtra,2022-01-18,05:32:00,Cloudy,Highway,5,2,20.657967,76.279384
Guntur,Andhra Pradesh,2022-02-04,08:05:31,Foggy,Rural Road,2,10,24.257862,96.835848
Faridabad,Haryana,2023-02-13,06:02:02,Clear,Highway,4,4,26.981849,96.528079
Vijayawada,Andhra Pradesh,2021-09-25,19:23:20,Clear,Urban Road,3,5,33.2014,71.571892
Surat,Gujarat,2024-02-14,04:20:19,Foggy,Highway,2,9,15.073602,94.723313
Jamshedpur,Jharkhand,2024-04-17,01:18:25,Foggy,Rural Road,4,9,9.124009,70.955154
Kolkata,West Bengal,2023-02-10,16:46:32,Cloudy,Rural Road,3,0,16.212027,74.297077
Gaya,Bihar,2023-11-29,13:53:10,Rainy,Highway,5,10,11.043065,85.595175
New Delhi,Delhi,2021-03-27,08:52:15,Rainy,Urban Road,4,9,22.38113,69.116397
Imphal,Manipur,2023-12-18,20:49:06,Cloudy,Highway,1,10,28.275516,79.92127
Bhubaneswar,Odisha,2024-11-16,14:14:00,Stormy,Urban Road,3,6,19.117813,91.948281
Indore,Madhya Pradesh,2024-04-21,19:34:37,Rainy,Urban Road,5,5,14.235918,80.52026
